state,city,station,mean_avg,mean_spread,anomaly_rate,n_readings,persistence,spis,risk_band
Uttar_Pradesh,Lucknow,"B R Ambedkar University, Lucknow - UPPCB",33.714285714285715,25.571428571428573,0.0,7,2.0794415416798357,23.772164563940528,Low
Bihar,Rajgir,"Dangi Tola, Rajgir - BSPCB",35.166666666666664,34.333333333333336,0.0,6,1.9459101490553132,23.70031312746098,Low
TamilNadu,Chennai,"Alandur Bus Depot, Chennai - CPCB",32.42857142857143,27.0,0.0,7,2.0794415416798357,23.673226270902806,Low
Telangana,Hyderabad,"Ramachandrapuram, Hyderabad - TSPCB",35.0,22.0,0.0,7,2.0794415416798357,23.610625894719732,Low
Uttar_Pradesh,Meerut,"Pallavpuram Phase 2, Meerut - UPPCB",31.571428571428573,27.714285714285715,0.0,7,2.0794415416798357,23.57832552418227,Low
Uttar_Pradesh,Moradabad,"Employment Office, Moradabad - UPPCB",32.42857142857143,26.142857142857142,0.0,7,2.0794415416798357,23.5690354859994,Low
Chhattisgarh,Raipur,"Bhatagaon New ISBT, Raipur - CECB",29.714285714285715,30.714285714285715,0.0,7,2.0794415416798357,23.54925273626299,Low
Maharashtra,Kalyan,"Pimpleshwar Mandir, Kalyan - MPCB",42.75,49.75,0.0,4,1.6094379124341003,23.54137281191851,Low
Bihar,Gaya,"SFTI Kusdihra, Gaya - BSPCB",31.857142857142858,26.428571428571427,0.0,7,2.0794415416798357,23.48261481376273,Low
Karnataka,Bengaluru,"City Railway Station, Bengaluru - KSPCB",57.5,23.5,0.0,4,1.6094379124341003,23.477738504800485,Low
Bihar,Bhagalpur,"Mayaganj, Bhagalpur - BSPCB",29.428571428571427,30.285714285714285,0.0,7,2.0794415416798357,23.43658187687571,Low
Telangana,Hyderabad,"New Malakpet, Hyderabad - TSPCB",30.428571428571427,27.571428571428573,0.0,7,2.0794415416798357,23.318658525622755,Low
Andhra_Pradesh,Amaravati,"Secretariat, Amaravati - APPCB",26.857142857142858,33.57142857142857,0.0,7,2.0794415416798357,23.290800683251973,Low
Bihar,Chhapra,"Darshan Nagar, Chhapra - BSPCB",35.833333333333336,29.5,0.0,6,1.9459101490553132,23.25413562432755,Low
Uttar_Pradesh,Agra,"Sanjay Palace, Agra - UPPCB",33.166666666666664,33.666666666666664,0.0,6,1.9459101490553132,23.1952475817649,Low
Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB",32.0,23.571428571428573,0.0,7,2.0794415416798357,23.165599930885826,Low
Punjab,Bathinda,"Hardev Nagar, Bathinda - PPCB",30.0,52.4,0.0,5,1.791759469228055,23.133073818908805,Low
Madhya Pradesh,Sagar,"Civil Lines, Sagar - MPPCB",23.857142857142858,37.42857142857143,0.0,7,2.0794415416798357,23.123616812493818,Low
Maharashtra,Mumbai,"Sewri, Mumbai - BMC",52.75,28.75,0.0,4,1.6094379124341003,23.10883992453,Low
TamilNadu,Chennai,"Kodungaiyur, Chennai - TNPCB",24.571428571428573,36.0,0.0,7,2.0794415416798357,23.1014041716604,Low
Maharashtra,Jalna,"Old MIDC, Jalna - MPCB",27.428571428571427,31.0,0.0,7,2.0794415416798357,23.099379262412896,Low
Uttar_Pradesh,Firozabad,"Nagla Bhau, Firozabad - UPPCB",24.285714285714285,36.42857142857143,0.0,7,2.0794415416798357,23.092924097176535,Low
Maharashtra,Mumbai,"Chhatrapati Shivaji Intl. Airport (T2), Mumbai - MPCB",34.714285714285715,17.571428571428573,0.0,7,2.0794415416798357,23.011731372449894,Low
Andhra_Pradesh,Chittoor,"Gangineni Cheruvu, Chittoor - APPCB",32.285714285714285,21.571428571428573,0.0,7,2.0794415416798357,22.983063566380117,Low
Maharashtra,Parbhani,"Masoom Colony, Parbhani - MPCB",28.714285714285715,27.428571428571427,0.0,7,2.0794415416798357,22.937840593192103,Low
Maharashtra,Mumbai,"Powai, Mumbai - MPCB",35.42857142857143,15.428571428571429,0.0,7,2.0794415416798357,22.902693077530305,Low
TamilNadu,Chennai,"Perungudi, Chennai - TNPCB",28.714285714285715,26.714285714285715,0.0,7,2.0794415416798357,22.85101493910593,Low
Karnataka,Chamarajanagar,"Urban, Chamarajanagar - KSPCB",27.285714285714285,29.0,0.0,7,2.0794415416798357,22.82597969750383,Low
Uttar_Pradesh,Moradabad,"Jigar Colony, Moradabad - UPPCB",31.857142857142858,20.285714285714285,0.0,7,2.0794415416798357,22.73591418862165,Low
TamilNadu,Ariyalur,"Keelapalur, Ariyalur - TNPCB",25.833333333333332,42.166666666666664,0.0,6,1.9459101490553132,22.673702547377385,Low
Telangana,Hyderabad,"Kompally Municipal Office, Hyderabad - TSPCB",30.285714285714285,21.428571428571427,0.0,7,2.0794415416798357,22.541670167013887,Low
Uttar_Pradesh,Kanpur,"Nehru Nagar, Kanpur - UPPCB",32.166666666666664,30.0,0.0,6,1.9459101490553132,22.53752842318139,Low
Uttar_Pradesh,Hapur,"Anand Vihar, Hapur - UPPCB",28.285714285714285,24.714285714285715,0.0,7,2.0794415416798357,22.517039907261292,Low
Uttar_Pradesh,Vrindavan,"Omex Eternity, Vrindavan - UPPCB",24.571428571428573,30.285714285714285,0.0,7,2.0794415416798357,22.406798938971026,Low
Uttar_Pradesh,Kanpur,"NSI Kalyanpur, Kanpur - UPPCB",32.42857142857143,15.428571428571429,0.0,7,2.0794415416798357,22.266650674706824,Low
Maharashtra,Mumbai,"Kurla, Mumbai - MPCB",37.833333333333336,17.833333333333332,0.0,6,1.9459101490553132,22.260011542802395,Low
