city,CO,NH3,NO2,OZONE,PM10,PM2.5,SO2,cluster
Shillong,7.0,0.0,0.0,7.0,0.0,0.0,7.0,1
Sivasagar,13.0,3.0,32.0,13.0,40.0,34.0,8.0,1
Srinagar,15.0,1.0,6.0,2.0,41.0,26.0,0.0,1
Varanasi,5.666666666666667,2.0,10.0,12.75,30.0,13.0,26.5,1
Vijayapura,23.0,1.0,9.0,16.0,47.0,37.0,0.0,1
Vellore,21.0,0.0,0.0,2.0,0.0,0.0,12.0,1
Thanjavur,7.0,2.0,10.0,18.0,41.0,41.0,17.0,1
Tirunelveli,41.0,2.0,12.0,6.0,31.0,24.0,21.0,1
Tonk,22.0,0.0,0.0,62.0,0.0,0.0,0.0,1
Tirupur,59.0,0.0,14.0,0.0,0.0,36.0,0.0,1
Thoothukudi,10.0,0.0,18.0,20.0,33.0,0.0,12.0,1
Thiruvananthapuram,31.5,0.0,6.0,25.5,72.0,48.0,5.0,1
Thrissur,15.0,0.0,8.0,31.0,52.0,55.0,2.0,1
Silchar,27.0,1.0,2.0,10.0,72.0,53.0,10.0,1
Amaravati,28.0,4.0,14.0,38.0,54.0,34.0,16.0,1
Bathinda,33.0,0.0,23.0,0.0,47.0,32.0,15.0,1
Bilaspur,22.0,0.0,16.0,0.0,49.0,38.0,16.0,1
Bhagalpur,24.0,4.5,18.0,42.0,43.5,39.0,13.0,1
Perundurai,39.0,2.0,4.0,11.0,57.0,45.0,18.0,1
Naharlagun,12.0,0.0,4.0,3.0,62.0,53.0,5.0,1
Nagapattinam,17.0,2.0,5.0,1.0,27.0,27.0,6.0,1
Nagaon,34.0,1.0,7.0,7.0,63.0,65.0,7.0,1
Palkalaiperur,10.0,3.0,10.0,0.0,30.0,25.0,8.0,1
Puducherry,24.0,2.0,16.0,44.0,46.0,49.0,8.0,1
Pudukottai,0.0,3.0,16.0,0.0,38.0,29.0,13.0,1
Prayagraj,7.666666666666667,7.666666666666667,7.666666666666667,21.666666666666668,40.666666666666664,19.0,26.666666666666668,1
Hubballi,29.0,2.0,12.0,24.0,54.0,42.0,2.0,1
Haveri,23.0,0.0,0.0,16.0,0.0,0.0,0.0,1
Agra,20.0,2.0,24.333333333333332,32.5,45.0,16.8,19.0,1
Aizawl,3.0,1.0,0.0,14.0,70.0,27.0,2.0,1
Bareilly,14.5,1.0,3.0,16.0,36.0,22.0,24.0,1
Chikkamagaluru,28.0,0.0,0.0,42.0,0.0,0.0,0.0,1
Bihar Sharif,0.0,0.0,0.0,31.0,0.0,0.0,0.0,1
Chamarajanagar,33.0,2.0,30.0,36.0,50.0,35.0,5.0,1
Chhapra,8.0,5.0,17.0,64.0,66.0,55.0,0.0,1
Kadapa,12.0,5.0,15.0,105.0,84.0,81.0,15.0,2
Jalgaon,23.0,1.0,10.0,68.0,123.0,66.0,15.0,2
Gwalior,31.666666666666668,1.6666666666666667,16.666666666666668,62.333333333333336,90.66666666666667,111.0,21.0,2
Hapur,28.0,6.0,36.0,12.0,63.0,40.0,13.0,2
Chengalpattu,20.0,2.0,14.0,6.0,74.0,66.0,25.0,2
Chennai,45.5,3.25,19.0,21.428571428571427,64.25,33.75,10.5,2
Barbil,29.0,3.0,18.0,8.0,113.0,64.0,21.0,2
Baripada,39.0,5.0,24.0,72.0,98.0,79.0,21.0,2
Amritsar,44.0,7.0,21.0,31.0,79.0,55.0,20.0,2
Anantapur,7.0,4.0,29.0,46.0,75.0,70.0,12.0,2
